# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.capacityInBytes,1757676741374000000,1757676801362000000,503316478
FilePageCacheLockFree.totalBytesRequested,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1757676741374000000,1757676801362000000,0
StreamlinedBlobStorage.recordsAllocated,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1757676741374000000,1757676801362000000,0
DirectByteBufferAllocator.reclaimed,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalPagesAllocated,1757676741374000000,1757676801362000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1757676741374000000,1757676801362000000,0
StreamlinedBlobStorage.recordsDeleted,1757676741374000000,1757676801362000000,0
FilePageCache.uncachedFileAccess,1757676741374000000,1757676801362000000,0
StorageLockContext.competingThreads.90P,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1757676741374000000,1757676801362000000,47162
FilePageCacheLockFree.totalPagesReclaimed,1757676741374000000,1757676801362000000,0
MappedFileStorage.totalBytesMapped,1757676741374000000,1757676801362000000,132382720
FilePageCacheLockFree.totalBytesRead,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.heapBytesInUse,1757676741374000000,1757676801362000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757676741374000000,1757676801362000000,877
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757676741374000000,1757676801362000000,0
Indexes.allKeys.lookups,1757676741374000000,1757676801362000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1757676741374000000,1757676801362000000,0
IndexesFlusher.totalFlushingTimeUs,1757676741374000000,1757676801362000000,171689
Indexes.entries.lookupDuration90PMs,1757676741374000000,1757676801362000000,0.0
IndexesFlusher.totalFlushes,1757676741374000000,1757676801362000000,59
Indexes.stubs.lookups,1757676741374000000,1757676801362000000,0.0
Indexes.entries.lookups,1757676741374000000,1757676801362000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1757676741374000000,1757676801362000000,0.0
IndexesFlusher.totalFlushesRetried,1757676741374000000,1757676801362000000,0
